string,pred_old,preds
"1/3 oz pink grapefruit juice, freshly squeezed",pink grapefruit juice,pink grapefruit juice
"1/3 oz pink grapefruit, fresh",pink grapefruit,pink grapefruit
1/3 oz pisco,pisco,pisco
1/3 oz pistachio liqueur,pistachio liqueur,pistachio liqueur
1/3 oz pomegranate juice,pomegranate juice,pomegranate juice
"1/3 oz pomegranate juice, fresh",pomegranate juice,pomegranate juice
1/3 oz pomegranate molasses,pomegranate molasses,pomegranate molasses
1/3 oz port,port,port
1/3 oz prepared coffee-flavored simple syrup,brewed simple simple syrup,spiced flavored simple
1/3 oz prepared spiced apple simple syrup,old white simple syrup,spiced spiced simple syrup
1/3 oz prepared spiced simple syrup,simple simple simple,spiced rum rum
1/3 oz prosecco,prosecco,prosecco
"1/3 oz prosecco, chilled",prosecco,seltzer
1/3 oz punt e mes,punt e mes,punt e mes
1/3 oz pureed concord grape,concord grape,concord grape
1/3 oz raw sugar,sugar,raw sugar
"1/3 oz red grapefruit, fresh",red grapefruit,red grapefruit
1/3 oz red wine,red wine,red wine
1/3 oz reposado tequila,reposado tequila,reposado tequila
1/3 oz rich simple syrup,simple simple syrup,simple simple syrup
1/3 oz rooibos simple syrup,rooibos simple syrup syrup,rooibos tea bag
1/3 oz rose champagne,rose champagne,rose champagne
1/3 oz rose water,rose water,rose water
1/3 oz rosemary simple syrup,simple simple,citric simple syrup
1/3 oz ruby port,ruby port,ruby port
1/3 oz rum,rum,rum
1/3 oz rye whiskey,rye whiskey,rye whiskey
1/3 oz sage simple syrup,simple simple syrup,basil simple syrup
1/3 oz saint germain,saint germain,saint germain
1/3 oz scotch,scotch,scotch
1/3 oz seltzer,seltzer,seltzer
"1/3 oz seltzer, chilled",seltzer,seltzer
1/3 oz semisweet chocolate chip,chocolate chocolate,semisweet chocolate chip
1/3 oz sherry,sherry,sherry
1/3 oz simple syrup,simple syrup,simple syrup
"1/3 oz simple syrup, made with honey instead of sugar",simple syrup,simple syrup
"1/3 oz simple syrup, preferably made with turbinado sugar",simple syrup,simple syrup
1/3 oz single-malt scotch,raspberry,malt malt scotch
"1/3 oz smoked brewed black tea, such as lapsang souchong",brewed black tea,smoked brewed black tea
1/3 oz smoky scotch,cava scotch,smoky scotch
1/3 oz sparkling wine,sparkling wine,sparkling wine
"1/3 oz sparkling wine, chilled",sparkling wine,sparkling champagne
"1/3 oz sparkling wine, preferable moscato",sparkling wine,sparkling wine
1/3 oz spiced rum,spiced rum,spiced rum
1/3 oz spiced rum (optional),spiced rum,spiced rum
1/3 oz strawberry simple syrup,honey simple syrup,gin simple syrup
"1/3 oz strawberry, sliced",strawberry,seltzer
1/3 oz strong black coffee,black coffee,black coffee coffee
1/3 oz sugar,sugar,sugar
1/3 oz suze,suze,suze
"1/3 oz sweet sparkling wine, chilled",sparkling wine,sweet sparkling wine
1/3 oz sweet vermouth,sweet vermouth,sweet vermouth
1/3 oz sweetened condensed milk,sweetened condensed milk,sweetened condensed milk
"1/3 oz tangerine juice, freshly squeezed",tangerine juice,tangerine juice
1/3 oz tawny port,port port,port port
1/3 oz tequila,tequila,tequila
1/3 oz the king's ginger,the kings ginger,the kings ginger
1/3 oz tomato juice,tomato juice,tomato juice
1/3 oz tonic water,tonic water,tonic water
1/3 oz triple sec,triple sec,triple sec
1/3 oz unfiltered apple cider,apple cider,unfiltered apple cider
1/3 oz unsalted butter,unsalted butter,unsalted butter
1/3 oz unsweetened cranberry juice,cranberry cranberry,unsweetened cranberry juice
1/3 oz unsweetened pomegranate juice,pomegranate juice,unsweetened pomegranate juice
1/3 oz vanilla,vanilla,vanilla
1/3 oz vanilla simple syrup,vanilla simple syrup syrup,vanilla simple syrup
1/3 oz vermouth,vermouth,vermouth
1/3 oz vodka,vodka,vodka
1/3 oz walnut liqueur,walnut liqueur,walnut liqueur
1/3 oz water,water,water
"1/3 oz water, boiling",water,water
"1/3 oz water, hot",water,water
1/3 oz whipped cream,whipped cream,whipped cream
1/3 oz whiskey,whiskey,whiskey
1/3 oz white balsamic vinegar,white balsamic vinegar,white balsamic vinegar
1/3 oz white rum,white rum,white rum
1/3 oz white vermouth,white vermouth,white vermouth
1/3 oz whole milk,whole milk,whole milk
1/3 oz yellow chartreuse,yellow chartreuse,yellow chartreuse
1/3 peach,peach,peach
"1/3 peach, cubed",peach,seltzer
"1/3 persian cucumber, cut into a thin wheel",persian cucumber,persian cucumbers
1/3 peychauds bitters,peychauds bitters,peychauds
1/3 piece candied ginger,candied ginger,candied ginger
1/3 piece orange,orange,orange
1/3 pinch brown sugar,brown sugar,brown sugar
"1/3 pinch cardamom, ground",cardamom,seltzer
1/3 pinch chile powder,chile powder,chile powder
1/3 pinch chipotle chile powder,chipotle chile powder,chipotle chile powder
1/3 pinch kosher salt,kosher salt,kosher salt
1/3 pinch salt,salt,salt
1/3 pinch smoked salt,salt salt,smoked salt
1/3 pinch tiny kosher salt,kosher salt,small kosher salt
1/3 pod green cardamom,poached chartreuse,green cardamom
"1/3 pod vanilla bean, scraped",vanilla pork,vanilla bean
"1/3 pomegranate seed, fresh",pomegranate seed,pomegranate molasses
1/3 pound ground pork,ground pork,ground pork
"1/3 pounds (about kg) russet or Yukon Gold potatoes, peeled and cut into quarters, sixths, or eighths, depending on size (see note)",yukon chinese fivespice,yukon cut yukon gold potatoes
1/3 pounds russet potatoes,russet potatoes,russet potatoes
1/3 pounds russet potatoes (about  medium),russet potatoes,russet potatoes
"1/3 prosecco, chilled",prosecco,seltzer
1/3 pt half and half,half and half,half and half
1/3 pt heavy cream,heavy cream,heavy cream
"1/3 pt strawberry, diced",strawberry,ginger
1/3 pt whole milk,whole milk,whole milk
1/3 qt ice cube,ice cube,ice cube
1/3 qt raw strawberry,strawberry,raw strawberry
1/3 qt seltzer,seltzer,seltzer
1/3 qt simple syrup,simple syrup,simple syrup
1/3 qt simple syrup (optional),simple syrup,simple syrup
"1/3 qt strawberry, split",strawberry,seltzer
1/3 qt water,water,water
"1/3 qt water, chilled",water,seltzer
"1/3 raspberry, fresh",raspberry,mint
"1/3 raspberry, fresh (optional)",raspberry,mint
1/3 red grape,red grape,red grape
1/3 ripe peach,peach,ripe peach
1/3 rooibos tea bag,rooibos tea bag,rooibos tea bag
1/3 salt,salt,salt
1/3 salt (optional),salt,salt
"1/3 seltzer, chilled",seltzer,seltzer
1/3 slice apple juice,apple juice,apple juice
1/3 slice cucumber,cucumber,cucumber
"1/3 slice cucumber, fresh",cucumber,seltzer
"1/3 slice cucumber, peeled",cucumber,seltzer
"1/3 slice dried pear, fresh",pear pear,dried figs
1/3 slice green bell pepper,green bell pepper,green bell pepper
1/3 slice lemon,lemon,lemon
1/3 slice lemon zest,lemon zest,lemon zest
1/3 slice lime,lime,lime
1/3 slice mango,mango,mango
1/3 slice orange,orange,orange
1/3 slice orange juice,orange juice,orange juice
1/3 slice peach,peach,peach
1/3 slice pineapple,pineapple,pineapple
1/3 slice small orange,orange,orange orange
1/3 slice strawberry,strawberry,strawberry
"1/3 small lime, zested",lime,small
1/3 smoked ham hock (about   pounds; g),ham hock,smoked ham hock
1/3 sour cherry,sour cherry,sour cherry
1/3 sparkling apple cider,sparkling apple cider,sparkling apple cider
1/3 splash cherry heering,cherry heering,cherry
1/3 splash gin,gin,gin
1/3 sprig cilantro,cilantro,cilantro
1/3 sprig fresh mint,mint,mint
"1/3 sprig fresh mint, leaves only",mint,fresh pasta
1/3 sprig marjoram,marjoram,marjoram
1/3 sprig mint,mint,mint
"1/3 sprig mint, fresh",mint,crouton
1/3 sprig rosemary,rosemary,rosemary
"1/3 sprig rosemary, fresh",rosemary,crouton
"1/3 sprig rosemary, fresh (optional)",rosemary,crouton
1/3 sprig tarragon,tarragon,tarragon
1/3 sprig thyme,thyme,thyme
1/3 sprig thyme (optional),thyme,thyme
"1/3 sprig thyme, fresh",thyme,crouton
1/3 stalk lemongrass,lemongrass,lemongrass
"1/3 stalk lemongrass, sliced",lemongrass,seltzer
1/3 star crushed anise,anise,anise anise
1/3 star whole anise,anise,anise
1/3 stick celery,walnut,celery
1/3 stick cinnamon,cinnamon,cinnamon
1/3 strawberry,strawberry,strawberry
1/3 strawberry (optional),strawberry,strawberry
"1/3 strawberry, halved",strawberry,seltzer
1/3 strip lemon zest,lemon zest,lemon zest
1/3 sugar cube,sugar cube,sugar cube
1/3 superfine sugar,superfine sugar,superfine sugar
"1/3 tablespoon coarse salt, for glass rims",salt salt,coarse cornmeal
1/3 tablespoon Diamond Crystal (g); for table salt use half as much by volume or the same weight,table salt,<OOV> virgin
"1/3 tablespoon fresh thyme leaves, roughly chopped",thyme,thyme thyme salt
1/3 tablespoon freshly squeezed lemon juice,lemon juice,lemon juice
1/3 tablespoon plus  teaspoon active dry yeast,active dry yeast,active dry yeast
1/3 tablespoons ( grams) mascarpone or sour cream,poached cream,sour sour
"1/3 tablespoons ( grams) mascarpone, sour cream, or applesauce",poached chocolate,sour cream
"1/3 tablespoons (g) plain or toasted sugar, divided",sugar,plain or toasted sugar
1/3 tablespoons (g) unsalted butter,unsalted butter,unsalted butter
"1/3 tablespoons (g) unsalted butter, cut into roughly -inch cubes",unsalted butter,unsalted butter
"1/3 tablespoons (g) unsalted butter, cut into roughly -inch cubes (optional)",unsalted butter,unsalted butter
"1/3 tablespoons (ml) extra-virgin olive oil, duck fat, goose fat, or beef fat",olive,extra virgin virgin oil
"1/3 tablespoons (ml) extra-virgin olive oil, duck fat, goose fat, or beef fat (optional)",olive,extra virgin virgin oil
1/3 tablespoons chives,chives,chives
1/3 tablespoons chopped fresh chives,chives,fresh chives
1/3 tablespoons high-quality unsalted butter,unsalted butter,unsalted unsalted butter
1/3 tablespoons kosher salt,kosher salt,kosher salt
1/3 tablespoons unsalted butter,unsalted butter,unsalted butter
"1/3 tablespoons unsalted butter, at room temperature",unsalted butter,unsalted butter
1/3 Taste cane syrup,cane syrup,cane syrup
1/3 Taste simple syrup,simple syrup,simple syrup
1/3 tbsp acid phosphate,acid phosphate,acid phosphate
1/3 tbsp apple cider vinegar,apple cider vinegar,apple cider vinegar
1/3 tbsp brandy,brandy,brandy
"1/3 tbsp butter, room temperature",butter,seltzer
"1/3 tbsp butter, softened",butter,lemon
1/3 tbsp cane simple syrup,simple syrup,cane simple syrup
1/3 tbsp celery salt,celery salt,celery salt
1/3 tbsp chicory,chicory,chicory
1/3 tbsp cocoa powder,cocoa powder,cocoa powder
1/3 tbsp cranberry sorbet,cranberry sorbet,cranberry sorbet
1/3 tbsp dark brown sugar,dark brown sugar,dark brown sugar
1/3 tbsp demerara sugar,demerara sugar,demerara sugar
1/3 tbsp dried ancho chile,ancho chile,dried ancho chile
"1/3 tbsp dry sparkling wine, chilled",sparkling wine,sparkling sparkling wine
1/3 tbsp edible gold flake,edible gold flake,edible gold flake
1/3 tbsp egg white,egg white,egg white
1/3 tbsp extra virgin olive oil,extra virgin olive oil,extra virgin olive oil
"1/3 tbsp fresh mint, minced",mint,fresh
"1/3 tbsp ginger, minced",ginger,water
1/3 tbsp granulated sugar,granulated sugar,granulated sugar
1/3 tbsp honey,honey,honey
"1/3 tbsp horseradish, grated",horseradish,nutmeg
"1/3 tbsp jalapeno, diced",jalapeno,seltzer
1/3 tbsp kosher salt,kosher salt,kosher salt
"1/3 tbsp lemon juice, freshly squeezed",lemon juice,lemon juice
1/3 tbsp lemon zest,lemon zest,lemon zest
"1/3 tbsp lemon zest, grated",lemon zest,lemon juice
1/3 tbsp lemongrass,lemongrass,lemongrass
"1/3 tbsp lime juice, freshly squeezed",lime juice,lime juice
1/3 tbsp lime zest,lime zest,lime zest
1/3 tbsp malted milk powder,malted milk powder,malted milk powder
1/3 tbsp maple syrup,maple syrup,maple syrup
1/3 tbsp orange curacao,orange curacao,orange curacao
1/3 tbsp orange zest,orange zest,orange zest
1/3 tbsp pumpkin butter,pumpkin butter,pumpkin seeds
"1/3 tbsp rosemary, fresh",rosemary,seltzer
1/3 tbsp rye whiskey,rye whiskey,rye whiskey
1/3 tbsp simple syrup,simple syrup,simple syrup
1/3 tbsp sparkling wine,sparkling wine,sparkling wine
1/3 tbsp spiced simple syrup,lingui simple syrup,spiced rum syrup
1/3 tbsp sugar,sugar,sugar
1/3 tbsp superfine sugar,superfine sugar,superfine sugar
1/3 tbsp sweet vermouth,sweet vermouth,sweet vermouth
1/3 tbsp unsalted butter,unsalted butter,unsalted butter
1/3 tbsp water,water,water
1/3 tbsp watercress,watercress,watercress
"1/3 tbsp white onion, diced",white onion,white vermouth
1/3 tbsp white rum,white rum,white rum
1/3 tbsp white rum (optional),white rum,white rum
1/3 tbsp whole allspice,allspice,whole allspice
1/3 tbsp whole anise,anise,anise anise
1/3 tbsp whole black peppercorn,black peppercorn,whole black peppercorn
1/3 tbsp whole clove,clove,clove clove
1/3 tbsp whole coriander seed,coriander seed,coriander seed seed
1/3 tbsp whole cumin seed,cumin seed,cumin seed seed
1/3 teaspoon (g) baking soda,baking soda,baking soda
1/3 teaspoon (g) Diamond Crystal kosher salt; for table salt use half as much by volume or the same weight,kosher salt oil,kosher salt
1/3 teaspoon (g) Diamond Crystal kosher salt; for table salt use half as much by volume or the same weight (optional),kosher salt oil,kosher salt
1/3 teaspoon adobo sauce from the pepper can,adobo sauce,chipotle pepper in
1/3 teaspoon baking soda,baking soda,baking soda
1/3 teaspoon freshly ground black pepper,black pepper,black pepper pepper pepper
1/3 teaspoon freshly ground black pepper (optional),black pepper,black pepper pepper pepper
"1/3 teaspoon freshly ground white pepper, plus more to taste",cayenne chile,freshly ground white fish
1/3 teaspoon garlic powder,espresso powder,garlic powder
1/3 teaspoon ground cinnamon,ground cinnamon,ground cinnamon
1/3 teaspoon ground cloves,ground cloves,ground cloves
1/3 teaspoon ground cloves (optional),ground cloves,ground cloves
1/3 teaspoon kosher salt,kosher salt,kosher salt
1/3 teaspoon onion powder,onion powder,onion powder
1/3 teaspoons ground ginger,ground ginger,ground ginger
1/3 teaspoons kosher salt,kosher salt,kosher salt
"1/3 to   pounds (. to .kg) russet potatoes, peeled and sliced  inch thick on a mandoline slicer ( to  medium potatoes; see note)",russet potatoes,russet potato
"1/3 to  tablespoons powdered sugar, plus more to decorate",icing sugar,powdered gelatin
1/3 to taste lemon juice,lemon juice,lemon juice
1/3 tsp absinthe,absinthe,absinthe
1/3 tsp agave,agave,agave
1/3 tsp agave simple syrup,simple simple syrup,agave simple syrup
1/3 tsp almond extract,almond extract,almond extract
1/3 tsp angostura bitters,angostura bitters,angostura bitters
1/3 tsp balsamic simple syrup,balsamic simple syrup syrup,balsamic simple syrup
1/3 tsp balsamic vinegar,balsamic vinegar,balsamic vinegar
1/3 tsp benedictine,benedictine,benedictine
1/3 tsp black peppercorn,black peppercorn,black peppercorn
1/3 tsp black peppercorn (optional),black peppercorn,black peppercorn
"1/3 tsp black peppercorn, freshly ground",black peppercorn,black cardamom
"1/3 tsp cardamom pod, lightly crushed",cardamom,cardamom pods
1/3 tsp celery salt,celery salt,celery salt
1/3 tsp cherry heering,cherry heering,cherry
1/3 tsp cinchona bark,cinchona bark,cinchona bark
1/3 tsp citric acid,citric acid,citric acid
1/3 tsp cognac,cognac,cognac
1/3 tsp cointreau,cointreau,cointreau
"1/3 tsp coriander seed, ground",coriander seed,coriander seeds
1/3 tsp creme de violette,creme de violette,creme de violette
"1/3 tsp creme de violette, optional",creme de violette,creme de menthe
"1/3 tsp creme de violette, optional (optional)",creme de violette,creme de menthe
1/3 tsp demerara simple syrup,simple simple syrup,demerara simple syrup
1/3 tsp dried lavender,lavender,dried lavender
1/3 tsp fig jam,fig jam,fig jam
1/3 tsp finely grated dark chocolate,dark chocolate,dark dark chocolate
1/3 tsp freshly grated nutmeg,nutmeg,freshly grated nutmeg
1/3 tsp grand marnier,grand marnier,grand marnier
1/3 tsp granulated sugar,granulated sugar,granulated sugar
1/3 tsp grenadine,grenadine,grenadine
1/3 tsp ground cinnamon,ground cinnamon,ground cinnamon
1/3 tsp ground ginger,ground ginger,ground ginger
1/3 tsp ground pink peppercorn,pink peppercorn,ground pink peppercorn
1/3 tsp harissa paste,harissa paste,harissa paste
1/3 tsp herbsaint,herbsaint,herbsaint
1/3 tsp honey,honey,honey
"1/3 tsp horseradish sauce, freshly grated",horseradish sauce,horseradish sauce
1/3 tsp hot sauce,hot sauce,hot sauce
1/3 tsp kosher salt,kosher salt,kosher salt
1/3 tsp lemon juice,lemon juice,lemon juice
"1/3 tsp lemon juice, freshly squeezed",lemon juice,lemon juice
1/3 tsp maple syrup,maple syrup,maple syrup
1/3 tsp maraschino liqueur,maraschino liqueur,maraschino liqueur
1/3 tsp mustard seed,mustard seed,mustard seed
"1/3 tsp nutmeg, freshly grated",nutmeg,nutmeg
1/3 tsp orange bitters,orange bitters,orange bitters
1/3 tsp orange blossom water,orange blossom water,orange blossom water
1/3 tsp orange marmalade,orange marmalade,orange marmalade
1/3 tsp pernod,pernod,pernod
1/3 tsp pimento bitters,bitters bitters,angostura bitters
"1/3 tsp pomegranate seed, ground",pomegranate seed,pomegranate molasses
1/3 tsp rose water,rose water,rose water
1/3 tsp salt,salt,salt
1/3 tsp sea salt,sea sea,sea salt
1/3 tsp sherry vinegar,sherry vinegar,sherry vinegar
1/3 tsp simple syrup,simple syrup,simple syrup
1/3 tsp soy sauce,soy sauce,soy sauce
1/3 tsp sugar,sugar,sugar sugar
